Income_source,Savings_habits,Borrowing_status,Financial_education,Age,Gender,Marital_status,Educational_level,Geographic_location,NIDA_number,Smartphone_ownership,has_bank_account
other,yes,yes,False,36,male,marriedliving together,secondary competedo level,zanzibar,no,yes,one account
traders  nonagricultural,no,yes,False,31,female,marriedliving together,secondary competedo level,zanzibar,no,yes,one account
informal sector salaried,yes,yes,False,29,female,marriedliving together,some secondary,zanzibar,no,no,one account
formal sector salaried,yes,yes,True,35,male,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,25,male,singlenever married,secondary competedo level,zanzibar,no,yes,two or three accounts
piece workcasual labor,yes,yes,True,42,female,marriedliving together,secondary competedo level,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,27,male,divorcedseparated,primary completed,zanzibar,no,no,one account
dependents,yes,no,True,67,female,widowed,some primary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,22,male,singlenever married,some secondary,zanzibar,no,no,one account
dependents,yes,no,False,21,female,singlenever married,primary completed,zanzibar,no,no,one account
piece workcasual labor,yes,yes,True,53,female,widowed,some secondary,zanzibar,no,no,one account
formal sector salaried,yes,yes,True,30,male,widowed,university or higher education completed,zanzibar,no,yes,one account
piece workcasual labor,no,yes,False,34,female,marriedliving together,secondary completeda level,zanzibar,no,yes,one account
dependents,yes,yes,False,28,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,no,False,29,male,marriedliving together,some secondary,zanzibar,no,yes,one account
piece workcasual labor,no,yes,True,26,male,marriedliving together,secondary competedo level,zanzibar,no,yes,two or three accounts
piece workcasual labor,no,yes,False,34,female,marriedliving together,some primary,zanzibar,no,no,one account
dependents,yes,no,False,44,female,marriedliving together,some secondary,zanzibar,no,no,one account
piece workcasual labor,yes,yes,False,26,male,singlenever married,some primary,zanzibar,no,no,one account
traders  nonagricultural,no,no,False,48,female,marriedliving together,primary completed,zanzibar,no,yes,one account
formal sector salaried,yes,yes,True,36,male,marriedliving together,secondary competedo level,zanzibar,no,yes,two or three accounts
farmers and fishers,yes,yes,False,30,male,marriedliving together,primary completed,zanzibar,no,no,one account
formal sector salaried,yes,yes,True,38,female,divorcedseparated,secondary competedo level,zanzibar,no,no,one account
formal sector salaried,no,yes,True,46,male,marriedliving together,university or higher education completed,zanzibar,no,yes,one account
dependents,yes,yes,False,17,male,singlenever married,some secondary,dar es salaam,no,no,one account
piece workcasual labor,yes,no,False,44,male,marriedliving together,primary completed,other urban,yes,no,one account
farmers and fishers,yes,yes,False,59,male,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,no,no,False,30,female,marriedliving together,some primary,other urban,yes,no,one account
piece workcasual labor,no,yes,False,45,male,divorcedseparated,some primary,other urban,no,no,one account
farmers and fishers,yes,no,False,17,female,singlenever married,some secondary,other urban,no,no,one account
piece workcasual labor,yes,no,False,20,male,singlenever married,primary completed,other urban,no,no,one account
dependents,yes,no,False,19,female,marriedliving together,some primary,other urban,no,no,one account
dependents,no,no,False,80,female,marriedliving together,no formal education,other urban,no,no,one account
traders  agricultural products,yes,yes,False,20,male,singlenever married,secondary competedo level,other urban,no,no,one account
piece workcasual labor,no,no,False,23,male,singlenever married,primary completed,other urban,no,no,one account
dependents,no,no,False,16,female,singlenever married,some secondary,other urban,no,no,one account
dependents,no,yes,False,40,female,marriedliving together,some primary,other urban,no,no,one account
farmers and fishers,no,no,False,56,female,marriedliving together,primary completed,other urban,yes,no,one account
formal sector salaried,no,no,True,19,female,singlenever married,primary completed,other urban,no,yes,one account
piece workcasual labor,no,no,False,60,male,divorcedseparated,no formal education,other urban,no,no,one account
farmers and fishers,no,no,False,41,female,marriedliving together,no formal education,other urban,yes,no,one account
piece workcasual labor,yes,yes,True,17,male,singlenever married,some secondary,other urban,no,no,one account
piece workcasual labor,yes,no,False,23,female,marriedliving together,no formal education,other urban,no,no,one account
piece workcasual labor,no,no,False,35,female,marriedliving together,primary completed,other urban,no,no,one account
dependents,yes,no,False,18,female,singlenever married,secondary competedo level,other urban,no,no,one account
farmers and fishers,no,no,False,30,female,marriedliving together,primary completed,other urban,yes,no,one account
farmers and fishers,yes,no,False,18,female,marriedliving together,primary completed,other urban,no,no,one account
formal sector salaried,no,yes,False,53,male,marriedliving together,primary completed,other urban,no,no,one account
piece workcasual labor,yes,yes,False,26,female,marriedliving together,no formal education,other urban,yes,no,one account
farmers and fishers,yes,no,False,64,male,divorcedseparated,primary completed,other urban,yes,no,one account
piece workcasual labor,yes,yes,False,53,female,singlenever married,primary completed,other urban,no,no,one account
farmers and fishers,yes,yes,True,28,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,44,female,widowed,primary completed,rural,no,no,one account
dependents,yes,no,False,16,female,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,yes,yes,False,38,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,27,male,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,22,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,34,male,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,20,female,singlenever married,primary completed,rural,no,no,one account
dependents,yes,no,False,27,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,20,female,marriedliving together,some primary,rural,no,no,one account
dependents,no,no,False,16,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,34,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,no,no,True,23,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,28,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,16,male,singlenever married,primary completed,rural,no,no,one account
dependents,no,no,False,18,female,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,no,no,False,62,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,77,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,49,female,divorcedseparated,primary completed,rural,yes,no,one account
dependents,no,yes,False,37,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,28,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,43,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,55,female,marriedliving together,some primary,rural,no,no,one account
dependents,no,no,False,95,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,33,female,widowed,no formal education,rural,no,no,one account
dependents,no,no,False,81,male,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,yes,False,30,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,66,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,23,female,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,40,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,30,female,marriedliving together,secondary competedo level,rural,yes,no,one account
farmers and fishers,no,no,False,23,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,18,female,singlenever married,some secondary,rural,no,no,one account
dependents,no,no,False,16,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,24,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,39,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,58,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,yes,True,36,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,40,male,widowed,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,29,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,True,30,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,19,male,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,yes,no,False,21,female,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,29,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,19,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,49,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,25,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,22,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,53,female,marriedliving together,primary completed,rural,no,no,one account
traders  agricultural products,yes,no,False,33,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,30,male,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,no,yes,False,41,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,65,female,divorcedseparated,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,34,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,yes,False,26,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,41,male,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,19,female,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,yes,False,29,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,27,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,56,female,widowed,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,20,male,singlenever married,primary completed,rural,yes,no,two or three accounts
other,no,no,False,52,female,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,78,female,widowed,no formal education,rural,yes,no,one account
piece workcasual labor,no,no,False,44,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,17,female,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,43,female,widowed,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,21,female,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,35,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,26,female,divorcedseparated,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,30,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,59,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,yes,yes,True,41,female,singlenever married,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,30,female,divorcedseparated,secondary competedo level,rural,no,no,one account
dependents,yes,no,False,92,female,divorcedseparated,no formal education,rural,no,no,one account
dependents,no,no,False,16,female,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,26,female,singlenever married,primary completed,rural,no,no,one account
dependents,no,no,False,16,female,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,16,female,singlenever married,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,31,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,True,76,male,marriedliving together,some primary,rural,yes,no,one account
dependents,no,no,False,17,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,23,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,yes,False,58,male,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,34,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,28,male,divorcedseparated,some secondary,rural,yes,no,one account
farmers and fishers,yes,yes,False,20,female,singlenever married,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,38,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,82,female,marriedliving together,no formal education,rural,yes,no,one account
piece workcasual labor,yes,no,False,25,female,marriedliving together,primary completed,rural,no,no,one account
rental income,yes,yes,False,51,male,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,yes,no,False,29,male,singlenever married,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,70,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,22,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,20,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,81,male,divorcedseparated,no formal education,rural,no,no,one account
dependents,no,no,False,68,female,widowed,no formal education,rural,no,no,one account
dependents,no,no,False,29,female,marriedliving together,no formal education,rural,no,no,one account
welfare,no,no,False,67,female,divorcedseparated,no formal education,rural,yes,no,one account
piece workcasual labor,no,yes,False,46,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,23,female,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,30,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,27,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,59,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,19,female,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,75,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,76,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,36,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,48,female,widowed,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,36,female,widowed,no formal education,rural,no,no,one account
dependents,no,no,False,74,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,18,male,singlenever married,no formal education,rural,no,no,one account
dependents,no,no,False,25,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,35,male,marriedliving together,some primary,rural,yes,no,one account
piece workcasual labor,no,no,False,33,male,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,63,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,32,female,marriedliving together,secondary competedo level,rural,no,no,one account
dependents,no,no,False,16,female,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,16,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,55,female,divorcedseparated,primary completed,rural,no,no,one account
dependents,yes,no,False,70,female,divorcedseparated,primary completed,rural,yes,no,one account
piece workcasual labor,yes,yes,False,29,female,marriedliving together,secondary competedo level,rural,yes,no,one account
piece workcasual labor,yes,yes,False,40,male,singlenever married,some primary,rural,no,no,one account
dependents,yes,no,False,24,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,53,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,60,female,widowed,secondary competedo level,rural,no,no,one account
farmers and fishers,no,no,False,18,male,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,32,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,30,female,divorcedseparated,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,24,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,73,female,widowed,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,59,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,30,female,singlenever married,some secondary,rural,no,no,one account
welfare,no,yes,False,54,female,marriedliving together,some primary,rural,yes,no,one account
farmers and fishers,no,yes,True,43,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,98,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,30,female,divorcedseparated,no formal education,rural,yes,no,one account
piece workcasual labor,yes,no,False,34,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,28,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,45,male,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,32,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,yes,no,False,25,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,20,female,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,yes,False,51,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,80,female,widowed,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,59,female,divorcedseparated,primary completed,rural,no,no,one account
dependents,no,no,False,49,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,38,female,marriedliving together,no formal education,rural,no,no,one account
welfare,yes,no,True,56,female,divorcedseparated,primary completed,rural,yes,no,one account
dependents,yes,no,False,23,female,marriedliving together,some primary,rural,yes,no,one account
traders  agricultural products,yes,yes,False,44,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,31,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,24,female,marriedliving together,secondary competedo level,rural,no,no,one account
farmers and fishers,no,no,False,35,male,marriedliving together,no formal education,rural,yes,no,one account
farmers and fishers,no,yes,False,17,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,35,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,18,female,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,60,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,74,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,yes,True,56,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,61,female,divorcedseparated,no formal education,rural,no,no,one account
dependents,no,no,False,16,male,singlenever married,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,63,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,37,female,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,52,female,marriedliving together,some primary,rural,no,no,one account
dependents,no,no,False,18,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,72,female,widowed,some secondary,rural,no,no,one account
farmers and fishers,yes,no,False,47,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,26,female,marriedliving together,some secondary,rural,yes,no,one account
farmers and fishers,no,no,False,40,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,26,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,yes,no,False,22,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,20,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,20,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,33,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,no,True,34,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,18,female,singlenever married,some primary,rural,no,no,one account
dependents,no,yes,False,63,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,41,female,widowed,primary completed,rural,no,no,one account
dependents,yes,no,False,72,female,widowed,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,25,male,singlenever married,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,33,male,marriedliving together,secondary competedo level,rural,yes,no,one account
farmers and fishers,yes,yes,False,19,male,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,21,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,49,male,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,27,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,16,female,singlenever married,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,50,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,31,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,yes,yes,False,76,male,marriedliving together,some primary,rural,no,no,one account
traders  nonagricultural,yes,no,False,34,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,53,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,21,male,singlenever married,primary completed,rural,no,no,one account
dependents,yes,no,False,25,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,20,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,yes,False,26,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,34,male,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,24,female,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,16,female,singlenever married,some secondary,rural,no,no,one account
dependents,no,no,False,16,male,singlenever married,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,16,female,singlenever married,some secondary,rural,no,no,one account
piece workcasual labor,no,no,False,19,female,singlenever married,secondary competedo level,rural,no,no,one account
piece workcasual labor,yes,yes,False,50,female,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,19,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,30,male,marriedliving together,no formal education,rural,no,no,one account
traders  nonagricultural,no,yes,False,34,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,34,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,60,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,32,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,16,male,singlenever married,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,16,female,singlenever married,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,60,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,34,male,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,91,male,marriedliving together,no formal education,rural,no,no,one account
traders  nonagricultural,yes,yes,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,51,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,19,female,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,32,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,52,male,divorcedseparated,primary completed,rural,no,no,one account
dependents,yes,yes,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,23,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,yes,False,48,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,True,72,male,marriedliving together,some primary,rural,yes,no,one account
farmers and fishers,no,no,False,25,female,divorcedseparated,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,17,male,singlenever married,primary completed,rural,no,no,one account
informal sector salaried,no,no,False,24,male,singlenever married,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,41,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,34,female,marriedliving together,primary completed,rural,yes,no,one account
dependents,no,no,False,24,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,44,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,21,female,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,no,False,71,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,20,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,67,male,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,80,male,widowed,no formal education,rural,yes,no,one account
dependents,no,no,False,22,female,singlenever married,primary completed,rural,no,no,one account
dependents,no,no,False,17,female,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,45,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,39,male,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,16,male,singlenever married,no formal education,rural,no,no,one account
farmers and fishers,no,no,True,18,male,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,48,female,divorcedseparated,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,25,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,34,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,51,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,65,male,widowed,no formal education,rural,no,no,one account
farmers and fishers,no,yes,False,54,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,70,female,widowed,no formal education,rural,no,no,one account
farmers and fishers,no,no,True,40,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,23,male,singlenever married,primary completed,rural,no,no,one account
dependents,no,no,False,42,male,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,43,male,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,29,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,21,female,singlenever married,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,67,female,singlenever married,some primary,rural,no,no,one account
dependents,yes,no,False,17,female,singlenever married,some primary,rural,no,no,one account
dependents,no,no,False,21,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,yes,False,22,male,singlenever married,no formal education,rural,no,no,one account
farmers and fishers,no,no,False,35,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,16,female,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,39,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,16,male,singlenever married,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,21,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,20,female,divorcedseparated,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,31,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,53,male,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,yes,False,24,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,no,no,False,33,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,37,female,divorcedseparated,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,63,female,marriedliving together,no formal education,rural,no,no,one account
dependents,no,no,False,25,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,25,female,marriedliving together,no formal education,rural,no,no,one account
dependents,yes,no,False,29,female,marriedliving together,no formal education,rural,yes,no,one account
piece workcasual labor,no,yes,False,43,male,divorcedseparated,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,16,male,singlenever married,secondary competedo level,rural,no,no,one account
farmers and fishers,yes,no,False,31,female,marriedliving together,some primary,rural,no,no,one account
dependents,yes,no,False,24,female,marriedliving together,some secondary,rural,no,no,one account
farmers and fishers,yes,yes,False,38,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,28,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,39,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,yes,False,36,male,marriedliving together,no formal education,rural,yes,no,one account
piece workcasual labor,no,no,False,23,female,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,27,female,marriedliving together,no formal education,rural,no,no,one account
farmers and fishers,yes,no,False,38,female,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,False,66,male,marriedliving together,no formal education,rural,no,no,one account
welfare,yes,no,True,80,female,widowed,no formal education,rural,yes,no,one account
farmers and fishers,yes,yes,False,48,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,no,True,26,female,marriedliving together,secondary completeda level,rural,no,no,one account
piece workcasual labor,no,no,False,45,male,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,yes,no,False,31,female,marriedliving together,no formal education,rural,yes,no,one account
dependents,no,yes,False,16,female,singlenever married,some secondary,rural,no,no,one account
piece workcasual labor,no,no,False,16,male,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,65,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,yes,False,23,female,marriedliving together,primary completed,rural,no,no,one account
